day,time,open,high,low,close,0
2019.09.01,17:06,10.000360,10.000360,9.996740,9.996740,0
2019.09.01,17:10,10.000360,10.001410,10.000360,10.001410,0
2019.09.01,17:11,10.001410,10.001410,10.001410,10.001410,0
2019.09.01,17:14,10.001360,10.001840,10.001360,10.001840,0
2019.09.01,17:15,10.001450,10.002240,10.001360,10.002240,0
2019.09.01,17:16,10.002230,10.002230,10.002230,10.002230,0
2019.09.01,17:17,10.002240,10.002240,10.002240,10.002240,0
2019.09.01,17:22,10.002230,10.002230,10.002230,10.002230,0
2019.09.01,17:23,10.002240,10.002240,10.002240,10.002240,0
2019.09.01,17:27,10.002230,10.002230,10.002230,10.002230,0
2019.09.01,17:28,10.002240,10.002240,10.002240,10.002240,0
2019.09.01,17:32,10.001350,10.001410,10.001350,10.001410,0
2019.09.01,17:33,10.001410,10.001410,10.001410,10.001410,0
2019.09.01,17:35,10.001400,10.001540,10.001350,10.001540,0
2019.09.01,17:36,10.001440,10.001440,10.001360,10.001400,0
2019.09.01,17:37,10.001400,10.001400,10.001400,10.001400,0
2019.09.01,17:38,10.001390,10.001400,10.001390,10.001400,0
2019.09.01,17:39,10.001360,10.001840,10.001360,10.001840,0
2019.09.01,17:40,10.001840,10.001840,10.001840,10.001840,0
2019.09.01,17:43,10.001360,10.001420,10.001360,10.001410,0
2019.09.01,17:44,10.001410,10.001410,10.001410,10.001410,0
2019.09.01,17:45,10.001360,10.001840,10.001360,10.001840,0
2019.09.01,17:46,10.001430,10.001940,10.001420,10.001940,0
2019.09.01,17:47,10.001940,10.001940,10.001930,10.001940,0
2019.09.01,17:48,10.001940,10.001940,10.001940,10.001940,0
2019.09.01,17:49,10.001940,10.001940,10.001940,10.001940,0
2019.09.01,17:50,10.001940,10.001940,10.001940,10.001940,0
2019.09.01,17:51,10.001940,10.001940,10.001940,10.001940,0
2019.09.01,17:52,10.001940,10.001940,10.001420,10.001420,0
2019.09.01,17:53,10.001420,10.001420,10.001420,10.001420,0
2019.09.01,17:54,10.001420,10.001420,10.001420,10.001420,0
2019.09.01,17:56,10.001410,10.001420,10.001410,10.001420,0
2019.09.01,18:01,10.009810,10.026350,10.009810,10.026320,0
2019.09.01,18:02,10.026320,10.031830,10.014710,10.020630,0
2019.09.01,18:03,10.020790,10.029200,10.020790,10.026920,0
2019.09.01,18:04,10.026920,10.027170,10.026900,10.027070,0
2019.09.01,18:05,10.027070,10.027070,10.026540,10.026950,0
2019.09.01,18:06,10.027060,10.027280,10.026950,10.027280,0
2019.09.01,18:07,10.027240,10.027240,10.026450,10.026600,0
2019.09.01,18:08,10.026600,10.026600,10.026590,10.026590,0
2019.09.01,18:09,10.026590,10.026650,10.026510,10.026650,0
2019.09.01,18:10,10.026650,10.026650,10.026500,10.026580,0
2019.09.01,18:11,10.026520,10.026830,10.026520,10.026730,0
2019.09.01,18:12,10.026730,10.026940,10.026730,10.026940,0
2019.09.01,18:13,10.026940,10.026940,10.026740,10.026930,0
2019.09.01,18:14,10.026920,10.026930,10.025410,10.025410,0
2019.09.01,18:15,10.025410,10.025520,10.025410,10.025440,0
2019.09.01,18:16,10.025440,10.025440,10.025150,10.025290,0
2019.09.01,18:17,10.025290,10.025290,10.025290,10.025290,0
2019.09.01,18:18,10.025040,10.025040,10.024510,10.024680,0
2019.09.01,18:19,10.024680,10.024680,10.024650,10.024650,0
2019.09.01,18:20,10.024650,10.024740,10.024650,10.024650,0
2019.09.01,18:21,10.024650,10.024650,10.024650,10.024650,0
2019.09.01,18:22,10.024650,10.024650,10.023970,10.023980,0
2019.09.01,18:23,10.023980,10.024590,10.023610,10.024350,0
2019.09.01,18:24,10.024350,10.024410,10.021810,10.022860,0
2019.09.01,18:25,10.022860,10.023010,10.022860,10.023010,0
2019.09.01,18:26,10.023010,10.023160,10.021550,10.022600,0
2019.09.01,18:27,10.022670,10.022950,10.022670,10.022950,0
2019.09.01,18:28,10.022950,10.023870,10.022080,10.022280,0
2019.09.01,18:29,10.022450,10.022800,10.022450,10.022800,0
2019.09.01,18:30,10.022800,10.022960,10.022800,10.022960,0
2019.09.01,18:31,10.022960,10.023460,10.021600,10.023460,0
2019.09.01,18:32,10.023660,10.024050,10.023070,10.024050,0
2019.09.01,18:33,10.024230,10.024240,10.022550,10.022940,0
2019.09.01,18:34,10.023090,10.024150,10.023090,10.024150,0
2019.09.01,18:35,10.024150,10.024400,10.024150,10.024390,0
2019.09.01,18:36,10.024500,10.024610,10.024500,10.024610,0
2019.09.01,18:37,10.024610,10.024890,10.022980,10.023810,0
2019.09.01,18:38,10.023970,10.025480,10.023960,10.024970,0
2019.09.01,18:39,10.024810,10.024810,10.023200,10.024810,0
2019.09.01,18:40,10.024960,10.025370,10.023350,10.024580,0
2019.09.01,18:41,10.024630,10.025860,10.020500,10.022420,0
2019.09.01,18:42,10.022420,10.022980,10.022420,10.022980,0
2019.09.01,18:43,10.022980,10.022980,10.022980,10.022980,0
2019.09.01,18:44,10.022980,10.022980,10.022980,10.022980,0
2019.09.01,18:45,10.022980,10.022980,10.022980,10.022980,0
2019.09.01,18:46,10.022980,10.023170,10.022980,10.023170,0
2019.09.01,18:47,10.023170,10.023170,10.022770,10.022770,0
2019.09.01,18:48,10.022900,10.023970,10.022900,10.023970,0
2019.09.01,18:49,10.023970,10.024420,10.023970,10.024420,0
2019.09.01,18:50,10.024420,10.024590,10.024420,10.024590,0
2019.09.01,18:51,10.024590,10.024790,10.024460,10.024690,0
2019.09.01,18:52,10.024780,10.024900,10.024680,10.024900,0
2019.09.01,18:53,10.024920,10.024920,10.024920,10.024920,0
2019.09.01,18:54,10.024950,10.024950,10.024800,10.024800,0
2019.09.01,18:55,10.024800,10.024800,10.024460,10.024640,0
2019.09.01,18:56,10.024730,10.024810,10.022630,10.023730,0
2019.09.01,18:57,10.023790,10.025190,10.023750,10.024770,0
2019.09.01,18:58,10.023940,10.023940,10.023840,10.023940,0
2019.09.01,18:59,10.024030,10.024040,10.023840,10.023940,0
2019.09.01,19:00,10.023840,10.026830,10.018890,10.026760,0
2019.09.01,19:01,10.024040,10.024040,10.016340,10.016410,0
2019.09.01,19:02,10.018240,10.018630,10.018140,10.018140,0
2019.09.01,19:03,10.018240,10.018440,10.017940,10.018140,0
2019.09.01,19:04,10.018240,10.018840,10.018140,10.018740,0
2019.09.01,19:05,10.018830,10.019340,10.018640,10.019340,0
2019.09.01,19:06,10.019440,10.019440,10.018540,10.018940,0
2019.09.01,19:07,10.018840,10.018840,10.017330,10.017940,0
2019.09.01,19:08,10.017740,10.018840,10.016640,10.017140,0
2019.09.01,19:09,10.017040,10.018040,10.013240,10.015640,0
2019.09.01,19:10,10.015540,10.015640,10.006740,10.010660,0
2019.09.01,19:11,10.010660,10.010660,10.010660,10.010660,0
2019.09.01,19:12,10.010840,10.011660,10.010840,10.011660,0
2019.09.01,19:13,10.011650,10.011650,10.010440,10.010940,0
2019.09.01,19:14,10.011030,10.011340,10.010140,10.010340,0
2019.09.01,19:15,10.010240,10.010340,10.010240,10.010240,0
2019.09.01,19:16,10.010240,10.010240,10.010030,10.010140,0
2019.09.01,19:17,10.010040,10.010540,10.009940,10.010540,0
2019.09.01,19:18,10.010540,10.012290,10.010540,10.010940,0
2019.09.01,19:19,10.010940,10.011430,10.010940,10.011430,0
2019.09.01,19:20,10.011440,10.011540,10.011040,10.011340,0
2019.09.01,19:21,10.011440,10.011440,10.011140,10.011240,0
2019.09.01,19:22,10.011140,10.011240,10.010940,10.010940,0
